log_entry,violates_GDPR,trustworthiness,low_trust_explanation
"2024-08-28 11:51:51 INFO: User profile updated for ID: 18341, fields changed: email",False,0.582736113704066,
2024-08-26 02:57:46 DEBUG: CDN cache purged for assets with tag: RELEASE-v3.5.8,False,0.9959214548490536,
2024-08-26 15:51:37 ERROR: API request latency: 3.88ms for endpoint /api/v2/analytics,False,0.9942858961573359,
2024-09-03 10:17:55 WARN: High number of password reset requests from IP range: 99.3.162.0/24,False,0.8908937386649181,
2024-08-23 04:52:15 DEBUG: Rate limit exceeded for API key: ak_rv8p43hhpqag84mv,False,0.9946232953460072,
2024-08-27 10:43:27 WARN: New comment posted by user 'user_344' on article ID: ART29257,False,0.9982772830297765,
2024-08-17 19:40:13 WARN: Unusual activity detected from IP: 2.176.32.203,True,0.6638187876630078,
2024-08-27 13:59:05 WARN: New social login via Google for user ID: FB_17615940,False,0.8967801568505612,
2024-08-24 04:24:00 WARN: Failed database connection from IP: 252.123.221.176,True,0.7348816763357864,
2024-09-14 22:23:46 DEBUG: Password reset requested for account: user203@example.com,True,0.9985317911982499,
2024-09-13 13:12:23 DEBUG: High CPU usage detected: 51% for process id 36975,False,0.9994908944699454,
2024-08-26 03:49:33 DEBUG: Multiple failed login attempts for user ID: 19042,False,0.8993695558327084,
"2024-09-11 03:15:31 ERROR: Payment processed for order #33220, amount: $517.02",False,0.9927656891219278,
2024-09-14 12:34:15 WARN: Multiple 404 errors for non-existent page: /promo-2022,False,0.9920387329020208,
2024-08-23 04:47:41 DEBUG: High CPU usage detected: 87% for process id 87498,False,0.9956451773112208,
"2024-09-11 16:27:24 INFO: Geo-location data updated for user 'user_294': lat 83.8544, long -141.2415",True,0.9958601286501685,
2024-08-26 08:40:41 INFO: Failed to send push notification to device token: l4xoqkhteyjg,False,0.5679692960889858,
2024-08-19 05:07:36 DEBUG: Database query execution time: 7.33s for query ID: QRY35342,False,0.9984311874214351,
2024-08-19 13:08:22 INFO: Multiple failed login attempts for user ID: 90641,False,0.9884069363641799,
2024-08-23 10:31:18 DEBUG: API request failed for endpoint: /api/v1/products,False,0.989958216502427,
2024-09-12 09:08:47 DEBUG: Database query execution time: 8.85s for query ID: QRY18424,False,0.9958970045466107,
2024-08-19 19:46:41 DEBUG: Failed to process image upload: insufficient funds,False,0.9883996062497793,
2024-08-30 10:43:05 DEBUG: User login successful for username: user639@example.com,True,0.9935776330579329,
2024-08-24 01:31:02 WARN: Newsletter subscription confirmed for email: user945@example.com,True,0.9993251451221355,
2024-09-13 09:59:26 INFO: API request failed for endpoint: /api/v1/analytics,False,0.9968259421441954,
"2024-09-10 05:16:28 INFO: Bulk email sent to 1695 subscribers, campaign ID: CAMP1629",False,0.9957603575329947,
2024-08-22 20:57:14 ERROR: Redis cache miss rate increased to 94% in last 5 minutes,False,0.9967805859361185,
2024-08-28 06:40:54 WARN: Multiple 404 errors for non-existent page: /promo-2021,False,0.9983381296839932,
"2024-08-24 19:32:18 WARN: New user registered: Charlie Smith, DOB: 1981-03-26",True,0.9960444235015027,
